Denver,CO,80012,4
Colorado Springs,CO,80902,3
Aurora,CO,80010,2
Fort Collins,CO,80521,2
Lakewood,CO,80123,1
Pueblo,CO,81001,1
Boulder,CO,80301,1
Durango,CO,81301,1
Albuquerque,NM,87101,1
Rio Rancho,NM,87124,1
Santa Fe,NM,87501,2
Roswell,NM,88201,1
Farmington,NM,87401,1
Deming,NM,88030,1
North Valley,NM,88043,1
Gallup,NM,87301,1
Salt Lake City,UT,84101,1
West Jordan,UT,84081,1
Provo,UT,84601,1
Sandy,UT,84070,8
Ogden,UT,84201,1
Logan,UT,84321,1
Murray,UT,84107,1
Layton,UT,84040,1
Cheyenne,WY,82001,1
Laramie,WY,82051,1
Jackson,WY,83001,6
Douglas,WY,82633,1
Buffalo,WY,82834,1
Powell,WY,82435,1
Sheridan,WY,82801,1
Worland,WY,82401,1
Los Angeles,CA,90001,5
San Jose,CA,95002,1
Oakland,CA,94601,1
Fremont,CA,94536,1
Santa Cruz,CA,95060,1
San Francisco,CA,94102,1
Norwalk,CA,90650,1
Chico,CA,95926,1
Boise,ID,83701,1
Meridian,ID,83634,1
Nampa,ID,83646,1
Idaho Falls,ID,83401,1
Twin Falls,ID,83301,1
Post Falls,ID,83854,1
Rigby,ID,83442,1
Bellevue,ID,83313,1
Iona,ID,83427,1
Parma,ID,83660,1
Bozeman,MT,59715,4
Big Sky,MT,59716,2
Whitefish,MT,59937,1
Butte,MT,59701,1
Evergreen,MT,59901,1
Sidney,MT,59270,1
Laurel,MT,59044,1
Anaconda,MT,59711,1
Polson,MT,59860,1
Seattle,WA,98101,1
Bellingham,WA,98225,1
Pullman,WA,99163,1
Camas,WA,98607,1
Des Moines,WA,98148,1
Mount Vernon,WA,98273,1
Orchards,WA,98662,1
Walla Walla,WA,99362,1
Kenmore,WA,98028,1
Portland,OR,97086,1
Eugene,OR,97401,3
Bend,OR,97701,1
Medford,OR,97501,1
Springfield,OR,97475,1
Redmond,OR,97756,1
Tualatin,OR,97062,1
Roseburg,OR,97470,1
Portland,ME,04101,1
Biddeford,ME,04005,1
Sanford,ME,04073,1
Saco,ME,04072,1
York,ME,03909,1
Falmouth,ME,04105,1
Kennebunk,ME,04043,1
Brunswick,ME,04011,1
Wells,ME,04090,1
Burlington,VT,05401,1
Colchester,VT,05439,1
Springfield,VT,05156,1
Barre,VT,05641,1
Shelburne,VT,05482,1
Milton,VT,05468,1
Williston,VT,05495,1
Barre city,VT,05641,1
Essex,VT,05451,1
New York,NY,10001,4
Buffalo,NY,14201,1
Rochester,NY,14602,1
Albany,NY,12201,1
Troy,NY,12180,1
Syracuse,NY,13201,1
Utica,NY,13501,1
Freeport,NY,11520,1
Petoskey,MI,49770,2
Harbor Springs,MI,49737,1
Traverse City,MI,49684,1
Cadillac,MI,49601,1
Milwaukee,WI,53201,1
Green Bay,WI,54229,1
Bellefontaine,OH,43311,1
Dublin,OH,43016,1
Altoona,PA,16601,1
Somerset,PA,15501,2
Harrisburg,PA,17101,2

