1,1608,827,2019-01-22,2019-04-18,8,1
2,441,643,2020-04-07,2020-06-01,16,1
3,1008,1266,2021-01-06,2021-02-12,14,1
4,720,223,2019-12-16,2020-01-26,24,1
5,1010,1344,2020-03-31,2020-05-24,32,1
6,712,1587,2020-10-30,2020-11-30,3,1
7,1684,97,2021-01-04,2021-02-12,31,1
8,359,35,2020-01-28,2020-02-29,6,1
9,1608,1249,2018-11-21,2018-12-16,17,1
10,546,1587,2020-12-19,2021-01-15,21,1
11,388,150,2016-01-13,2016-02-11,2,1
12,327,410,2021-04-29,2021-06-30,37,1
13,1524,1023,2017-04-26,2017-06-03,19,1
14,240,1589,2021-03-06,2021-04-23,4,1
15,434,1405,2021-02-27,2021-04-28,6,1
16,415,1079,2021-12-26,2022-03-03,20,1
17,1865,181,2021-04-23,2021-06-03,16,1
18,510,38,2021-09-08,2021-11-02,5,1
19,242,143,2021-02-13,2021-03-16,15,1
20,1643,1552,2021-03-04,2021-03-31,21,1
21,835,513,2021-12-10,2022-01-31,5,1
22,1595,321,2021-02-14,2021-04-24,20,1
23,932,973,2021-03-10,2021-05-03,43,1
24,600,142,2020-03-05,2020-03-28,4,1
25,1624,1494,2020-12-12,2021-01-12,18,1
26,1690,37,2021-01-28,2021-03-21,41,1
27,1069,1495,2020-11-21,2021-01-24,32,1
28,1361,1044,2020-12-04,2021-01-10,25,1
29,1627,319,2021-11-18,2021-12-25,3,1
30,1538,660,2021-04-30,2021-07-04,26,1
31,413,1358,2020-03-10,2020-05-03,5,1
32,1625,222,2020-11-20,2021-01-24,45,1
33,1602,1187,2021-10-01,2021-11-17,37,1
34,1339,666,2021-02-24,2021-03-18,13,1
35,1032,366,2019-03-18,2019-05-11,37,1
36,1468,278,2021-03-11,2021-04-07,8,1
37,88,764,2021-03-26,2021-05-20,22,1
38,821,700,2021-01-12,2021-03-02,24,1
39,1690,503,2021-12-06,2022-01-05,3,1
40,1639,1095,2021-12-12,2022-01-08,18,1
41,25,510,2021-12-20,2022-02-28,49,1
42,150,1161,2021-03-31,2021-05-07,11,1
43,1376,619,2021-12-15,2022-02-15,31,1
44,1485,802,2019-12-27,2020-02-23,5,1
45,304,417,2021-11-16,2021-12-11,17,1
46,333,1450,2019-10-06,2019-11-02,16,1
47,828,947,2019-03-07,2019-04-28,10,1
48,1836,515,2021-04-24,2021-06-06,17,1
49,290,1288,2020-03-30,2020-05-21,26,1
50,1172,1287,2021-01-09,2021-02-24,9,1
51,95,1206,2020-01-17,2020-02-27,24,1
52,304,78,2020-12-13,2021-02-02,10,1
53,829,370,2017-11-30,2018-01-10,4,1
54,1716,1489,2020-03-12,2020-04-12,12,1
55,130,1501,2021-09-01,2021-09-30,17,1
56,874,1379,2021-05-17,2021-06-19,26,1
57,1631,587,2018-12-05,2019-01-13,27,1
58,1470,1353,2020-03-05,2020-04-27,42,1
59,1926,1572,2021-05-23,2021-06-30,22,1
60,608,256,2021-11-08,2022-01-29,65,1
61,94,1299,2021-03-02,2021-04-30,17,1
62,699,1045,2021-01-14,2021-02-25,33,1
63,178,852,2019-02-04,2019-03-29,21,1
64,405,1056,2021-05-25,2021-06-17,16,1
65,954,179,2021-12-21,2022-02-14,33,1
66,1604,637,2021-01-01,2021-01-26,7,1
67,482,96,2021-12-03,2022-01-10,26,1
68,1455,955,2021-01-10,2021-02-05,18,1
69,1767,618,2018-12-04,2019-01-20,28,1
70,453,1544,2018-01-22,2018-02-24,13,1
71,59,371,2021-01-05,2021-04-08,18,1
72,421,906,2021-11-30,2021-12-15,6,1
73,1914,921,2020-04-04,2020-07-07,37,1
74,118,606,2019-01-08,2019-04-01,24,1
75,110,1090,2021-10-04,2021-11-01,14,1
