1,1,1,2017-10-24,0
2,2,2,2016-09-21,1
3,3,3,2019-09-26,0
4,4,4,2020-10-09,0
5,5,5,2020-10-12,1
6,6,6,2021-10-11,1
7,7,7,2021-10-24,0
8,8,8,2020-10-09,0
9,9,9,2020-09-30,0
10,10,10,2020-10-30,0
11,11,11,2016-09-21,0
12,12,12,2018-10-31,0
13,13,13,2020-10-18,0
14,14,14,2021-09-17,1
15,15,15,2020-10-26,0
16,16,16,2018-09-29,1
17,17,17,2021-10-10,1
18,18,18,2021-09-13,1
19,19,19,2021-09-26,0
20,20,20,2021-09-21,1
21,21,21,2020-09-15,0
22,22,22,2017-10-17,0
23,23,23,2020-10-24,0
24,24,24,2019-09-01,0
25,25,25,2020-09-30,1
26,26,26,2020-10-20,1
27,27,27,2020-09-06,0
28,28,28,2017-10-24,1
29,29,29,2021-10-24,1
30,30,30,2020-09-08,1
31,31,31,2021-09-01,1
32,32,32,2020-10-02,1
33,33,33,2021-10-25,1
34,34,34,2019-09-16,0
35,35,35,2020-09-08,0
36,36,36,2020-09-01,1
37,37,37,2021-09-02,1
38,38,38,2021-09-12,1
39,39,39,2020-10-17,1
40,40,40,2016-10-22,1
41,41,41,2021-09-07,1
42,42,42,2021-09-24,1
43,43,43,2021-09-23,1
44,44,44,2020-09-16,0
45,45,45,2021-10-18,1
46,46,46,2021-10-14,1
47,47,47,2019-09-18,0
48,48,48,2021-09-16,1
49,49,49,2019-09-25,0
50,50,50,2020-10-18,0
51,51,51,2016-10-25,1
52,52,52,2020-09-27,1
53,53,53,2018-09-23,1
54,54,54,2016-10-19,1
55,55,55,2020-09-28,0
56,56,56,2021-09-10,1
57,57,57,2020-10-15,1
58,58,58,2020-09-28,0
59,59,59,2016-09-08,1
60,60,60,2016-10-03,1
61,61,61,2018-10-15,0
62,62,62,2020-10-03,1
63,63,63,2021-10-31,1
64,64,64,2021-10-20,1
65,65,65,2019-10-01,0
66,66,66,2021-09-16,1
67,67,67,2021-09-22,1
68,68,68,2016-10-01,1
69,69,69,2018-09-27,0
70,70,70,2019-10-16,0
71,71,71,2021-10-06,1
72,72,72,2020-10-30,0
73,73,73,2019-10-09,0
74,74,74,2019-10-18,0
75,75,75,2020-10-24,0
76,76,76,2021-09-21,1
77,77,77,2021-09-13,1
78,78,78,2018-09-13,0
79,79,79,2016-09-02,1
80,80,80,2020-09-04,0
81,81,81,2019-09-04,0
82,82,82,2021-10-08,1
83,83,83,2018-09-25,0
84,84,84,2021-10-09,1
85,85,85,2020-10-25,1
86,86,86,2021-10-26,1
87,87,87,2021-09-19,1
88,88,88,2020-09-18,1
89,89,89,2021-10-04,1
90,90,90,2016-10-02,0
91,91,91,2018-10-17,0
92,92,92,2021-10-28,1
93,93,93,2020-09-06,1
94,94,94,2019-09-11,1
95,95,95,2021-09-01,1
96,96,96,2021-09-14,1
97,97,97,2021-09-26,1
98,98,98,2019-10-25,1
99,99,99,2021-10-18,1
100,100,100,2021-10-09,1
101,101,101,2021-10-16,1
102,102,102,2018-10-03,1
103,103,103,2017-09-10,0
104,104,104,2021-09-25,1
105,105,105,2021-09-24,1
106,106,106,2021-10-29,1
107,107,107,2016-09-25,1
108,108,108,2018-10-25,0
109,109,109,2020-10-10,1
110,110,110,2020-10-16,0
111,111,111,2021-10-05,1
112,112,112,2020-10-08,0
113,113,113,2021-09-17,0
114,114,114,2021-09-07,1
115,115,115,2020-09-08,0
116,116,116,2021-09-13,1
117,117,117,2020-09-09,0
118,118,118,2021-09-22,1
119,119,119,2020-09-09,1
120,120,120,2020-10-17,0
121,121,121,2016-09-18,1
122,122,122,2021-10-25,1
123,123,123,2021-10-12,1
124,124,124,2021-10-18,1
125,125,125,2018-09-23,0
126,126,126,2020-10-13,0
127,127,127,2021-09-07,1
128,128,128,2020-09-19,0
129,129,129,2020-10-26,1
130,130,130,2021-10-24,1
131,131,131,2020-09-13,1
132,132,132,2019-09-09,0
133,133,133,2017-09-06,0
134,134,134,2018-10-14,0
135,135,135,2020-09-03,1
136,136,136,2019-09-14,0
137,137,137,2021-09-11,1
138,138,138,2019-09-10,0
139,139,139,2019-10-17,0
140,140,140,2021-10-14,0
141,141,141,2021-10-25,1
142,142,142,2020-10-27,0
143,143,143,2021-10-28,1
144,144,144,2021-09-12,1
145,145,145,2021-09-23,1
146,146,146,2021-10-25,1
147,147,147,2021-10-22,1
148,148,148,2021-10-12,1
149,149,149,2021-10-27,0
150,150,150,2016-09-01,0
151,151,151,2019-10-16,0
152,152,152,2021-09-06,1
