1,41,2020-09-09,186,1
2,70,2020-09-16,166,1
3,53,2021-09-29,178,1
4,44,2020-08-01,190,1
5,11,2021-08-18,162,1
6,62,2021-09-30,176,1
7,42,2019-08-30,188,1
8,39,2021-08-21,162,1
9,42,2021-08-11,188,1
10,29,2021-09-27,176,1
11,52,2021-09-14,181,1
12,66,2020-09-11,177,1
13,13,2021-08-05,186,1
14,62,2019-09-02,181,1
15,23,2019-09-04,171,1
16,26,2020-08-10,184,1
17,1,2019-08-21,181,1
18,69,2021-08-09,166,1
19,13,2017-09-12,176,1
20,13,2021-08-09,176,1
21,1,2019-08-07,181,1
22,2,2021-08-05,174,1
23,21,2021-08-02,181,1
24,51,2021-08-04,181,1
25,66,2021-09-30,192,1
26,2,2021-09-04,184,1
27,38,2021-08-03,152,1
28,50,2020-09-17,177,1
29,60,2019-09-06,182,1
30,14,2021-08-25,178,1
31,50,2020-08-26,177,1
32,65,2021-09-15,182,1
33,30,2021-09-08,169,1
34,65,2019-08-02,182,1
35,2,2021-08-28,190,1
36,41,2020-09-24,193,1
37,24,2020-09-13,184,1
38,69,2021-08-29,166,1
39,58,2021-09-03,181,1
40,49,2020-09-15,187,1
41,61,2019-09-11,192,1
42,41,2021-08-28,193,1
43,20,2021-09-25,166,1
44,32,2021-08-14,167,1
45,68,2019-09-09,179,1
46,19,2020-08-06,162,1
47,23,2021-08-04,171,1
48,40,2016-08-01,162,1
49,43,2021-08-21,166,1
50,37,2017-08-03,180,1
51,44,2020-08-18,182,1
52,43,2018-08-18,182,1
53,51,2020-09-08,161,1
54,3,2021-09-16,154,1
55,2,2021-08-12,190,1
56,63,2021-08-09,176,1
57,25,2019-08-20,177,1
58,13,2020-09-06,186,1
59,29,2020-08-21,176,1
60,12,2021-09-03,172,1
61,30,2020-08-20,169,1
62,5,2020-09-23,179,1
63,19,2019-08-20,162,1
64,11,2021-08-17,172,1
65,66,2018-08-24,187,1
66,70,2020-08-27,166,1
67,19,2021-09-14,155,1
68,27,2021-08-20,171,1
69,3,2021-09-28,179,1
70,45,2016-09-13,150,1
71,36,2018-09-13,194,1
72,70,2019-08-11,161,1
73,67,2020-09-03,186,1
74,40,2018-08-18,179,1
75,2,2021-08-08,190,1
76,18,2020-08-07,181,1
77,42,2017-08-05,188,1
78,51,2020-09-05,161,0
79,5,2021-09-05,190,1
80,37,2018-08-21,187,1
81,5,2020-09-10,184,1
82,52,2021-09-10,186,1
83,52,2021-08-12,171,1
84,42,2021-08-28,188,1
85,11,2017-09-14,152,1
86,45,2019-08-26,162,0
87,5,2021-08-16,190,1
88,14,2021-08-25,164,1
89,38,2020-09-23,152,1
