2,2
8,2
9,1
11,3
14,1
17,1
17,2
18,1
21,2
22,1
22,2
25,2
29,2
32,2
33,10
34,3
36,3
37,1
43,1
44,3
45,1
51,1
53,3
54,2
61,2
69,3
73,1
77,2
79,1
79,2
90,1
98,1
101,2
106,1
106,2
109,3
112,2
115,1
116,1
119,3
122,2
126,1
131,3
133,2
134,1
136,1
137,2
138,1
146,1
146,2
151,1
151,3
153,10
156,3
156,2
158,1
158,3
159,1
160,1
160,2
160,3
167,1
168,1
169,2
169,3
176,1
180,2
187,1
188,1
191,1
194,1
198,1
202,1
202,2
203,3
204,10
209,1
218,1
222,2
224,1
227,30
235,1
237,1
239,3
239,1
239,2
243,1
245,2
247,1
247,3
247,2
248,2
249,1
249,3
256,3
259,3
260,1
262,1
265,30
269,1
269,2
269,3
274,1
275,3
278,1
283,1
285,1
285,2
285,3
288,1
292,1
294,3
296,2
297,1
298,3
299,2
300,2
304,2
304,3
307,1
310,2
313,1
316,2
317,1
323,20
327,2
327,1
329,1
333,1
336,1
337,1
342,3
344,1
345,1
348,1
365,1
367,2
371,3
371,2
372,10
377,1
380,3
383,1
384,1
390,1
391,1
391,2
391,3
393,1
394,3
395,1
397,1
399,2
399,3
399,1
408,2
409,2
411,1
415,2
416,2
420,1
420,3
421,3
422,3
423,2
423,3
425,1
426,1
429,2
429,3
429,1
432,2
434,3
435,2
436,1
437,1
437,3
438,2
441,2
443,1
447,3
451,2
456,1
461,30
462,3
465,1
469,1
471,2
472,2
476,2
478,3
481,2
481,1
481,3
486,3
491,1
492,1
493,2
496,3
502,2
511,1
511,2
511,3
513,1
514,1
519,1
523,2
525,1
525,2
525,3
530,2
530,1
531,3
532,1
533,3
534,1
537,1
537,3
541,3
543,2
544,2
544,1
547,2
551,1
552,1
552,2
553,1
553,2
555,1
561,2
568,2
571,2
571,1
571,3
572,1
573,3
579,1
580,3
581,1
586,3
587,1
588,2
590,3
600,1
612,1
612,2
615,1
616,3
620,1
621,2
628,1
632,3
633,1
635,3
638,20
640,1
641,2
641,1
641,3
646,2
647,1
648,1
652,1
656,3
659,1
661,1
664,1
664,3
664,2
666,1
667,2
667,1
667,3
668,1
669,3
677,2
681,2
681,1
685,2
686,1
689,3
690,1
690,2
691,1
697,2
698,3
699,1
699,2
699,3
701,1
701,2
702,1
702,3
703,1
706,1
707,2
708,1
709,2
716,3
721,1
722,2
722,1
723,1
724,3
726,3
728,2
729,1
731,1
733,1
733,2
736,1
739,3
741,1
742,1
743,2
745,2
746,1
747,1
747,2
747,3
749,1
749,3
749,2
751,2
752,1
754,1
755,1
756,3
760,3
762,3
763,2
766,2
767,1
771,1
771,2
771,3
774,3
775,1
775,3
775,2
777,3
778,1
778,2
778,3
